exam_name,auth_user_id,actual_mark,rank
Class 10 - Monthly MCQ Exam - February,623ad09bfb492fa5df2dc9d4,30.0,1
Class 10 - Monthly MCQ Exam - February,623a318efb492fa5df0c24df,30.0,1
Class 10 - Monthly MCQ Exam - February,623a3c91fb492fa5df0fe5fc,30.0,1
Class 10 - Monthly MCQ Exam - February,623ad09bfb492fa5df2dc9d4,28.75,4
Class 10 - Monthly MCQ Exam - February,623a8a95fb492fa5df224248,28.75,4
Class 10 - Weekly MCQ Exam - February 1,623acd24fb492fa5df2d4517,25.0,1
Class 10 - Weekly MCQ Exam - February 1,623a7385fb492fa5df1dc1c8,25.0,1
Class 10 - Weekly MCQ Exam - February 1,623a5e57fb492fa5df1918bc,25.0,1
Class 10 - Weekly MCQ Exam - February 1,623a614afb492fa5df19ca21,23.75,4
Class 10 - Weekly MCQ Exam - February 1,623ab72dfb492fa5df29e41b,23.75,4
Class 10 - Weekly MCQ Exam - February 1,623a318efb492fa5df0c24df,23.75,4
Class 10 - Weekly MCQ Exam - February 2,623ac8e1fb492fa5df2ca08e,27.5,1
Class 10 - Weekly MCQ Exam - February 2,623a7025fb492fa5df1d0ebc,27.5,1
Class 10 - Weekly MCQ Exam - February 2,623ad09bfb492fa5df2dc9d4,26.25,3
Class 10 - Weekly MCQ Exam - February 2,623ab72dfb492fa5df29e41b,26.25,3
Class 10 - Weekly MCQ Exam - February 2,623ad1befb492fa5df2df54d,26.25,3
Class 10 - Weekly MCQ Exam - February 2,623acccdfb492fa5df2d382b,26.25,3
Class 10 - Weekly MCQ Exam - February 2,623ac5abfb492fa5df2c2367,26.25,3
Class 10 - Weekly MCQ Exam - February 2,623a4e50fb492fa5df1509dc,26.25,3
Class 10 - Weekly MCQ Exam - February 2,623a473bfb492fa5df1315ad,26.25,3
Class 10 - Weekly MCQ Exam - April Week 2,623a7385fb492fa5df1dc1c8,15.0,1
Class 10 - Weekly MCQ Exam - April Week 2,623a4e17fb492fa5df14fa5b,15.0,1
Class 10 - Weekly MCQ Exam - April Week 2,623a97dcfb492fa5df24a781,15.0,1
Class 10 - Weekly MCQ Exam - April Week 2,623a41cffb492fa5df1181bd,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623acd8dfb492fa5df2d54bb,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623acd24fb492fa5df2d4517,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623a51f3fb492fa5df160079,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623aa797fb492fa5df2759dd,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623a8d34fb492fa5df22be24,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623ac604fb492fa5df2c30de,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623a318efb492fa5df0c24df,13.75,4
Class 10 - Weekly MCQ Exam - April Week 2,623a3c81fb492fa5df0fe0dd,13.75,4
Class 10 - Weekly MCQ Exam - February 3,623ad1befb492fa5df2df54d,25.0,1
Class 10 - Weekly MCQ Exam - February 3,623ad09bfb492fa5df2dc9d4,23.75,2
Class 10 - Weekly MCQ Exam - February 3,623a7385fb492fa5df1dc1c8,23.75,2
Class 10 - Weekly MCQ Exam - February 3,623ad09bfb492fa5df2dc9d4,22.5,4
Class 10 - Weekly MCQ Exam - February 3,623acd24fb492fa5df2d4517,22.5,4
Class 10 - Weekly MCQ Exam - February 3,623aada9fb492fa5df285b20,22.5,4
Class 10 - Weekly MCQ Exam - February 3,623ab51afb492fa5df298ed5,22.5,4
Class 10 - Weekly MCQ Exam - April 1,623a318cfb492fa5df0c2456,28.75,1
Class 10 - Weekly MCQ Exam - April 1,623ac5abfb492fa5df2c2367,28.75,1
Class 10 - Weekly MCQ Exam - April 1,623a7385fb492fa5df1dc1c8,27.5,3
Class 10 - Weekly MCQ Exam - April 1,623ac942fb492fa5df2caf3e,27.5,3
Class 10 - Weekly MCQ Exam - April 1,623a8d34fb492fa5df22be24,26.25,5
Class 10 - Weekly MCQ Exam - April 1,623ab88bfb492fa5df2a1b70,26.25,5
Class 10 - Weekly MCQ Exam - April 1,623a5759fb492fa5df1761dc,26.25,5
Class 10 - Weekly MCQ Exam - April 1,623ac953fb492fa5df2cb1d9,26.25,5
Class 10 - Weekly MCQ Exam - April 1,623ad1befb492fa5df2df54d,26.25,5
Class 10 - Weekly MCQ Exam - March 2,623a3c91fb492fa5df0fe5fc,25.0,1
Class 10 - Weekly MCQ Exam - March 2,623aac8dfb492fa5df282c3d,23.75,2
Class 10 - Weekly MCQ Exam - March 2,623a8a95fb492fa5df224248,23.75,2
Class 10 - Weekly MCQ Exam - March 2,623acd24fb492fa5df2d4517,23.75,2
Class 10 - Weekly MCQ Exam - March 2,623a318efb492fa5df0c24df,23.75,2
Class 10 - Weekly MCQ Exam - April Week 3,623aa09afb492fa5df262d0e,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623a7385fb492fa5df1dc1c8,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623ac942fb492fa5df2caf3e,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623ab493fb492fa5df2978dc,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623ab2d8fb492fa5df2931b1,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623a3c81fb492fa5df0fe0dd,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623a318cfb492fa5df0c2456,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623aa54ffb492fa5df26f883,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623a318efb492fa5df0c24df,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623a4d1afb492fa5df14b55d,15.0,1
Class 10 - Weekly MCQ Exam - April Week 3,623aa068fb492fa5df26247d,15.0,1
Class 10 - Weekly MCQ Exam - March 1,623aa797fb492fa5df2759dd,25.0,1
Class 10 - Weekly MCQ Exam - March 1,623ab72dfb492fa5df29e41b,25.0,1
Class 10 - Weekly MCQ Exam - March 1,623a473bfb492fa5df1315ad,23.75,3
Class 10 - Weekly MCQ Exam - March 1,623acd24fb492fa5df2d4517,23.75,3
Class 10 - Weekly MCQ Exam - March 1,623a318efb492fa5df0c24df,23.75,3
Class 10 - Weekly MCQ Exam - March 1,623a51f3fb492fa5df160079,23.75,3
Class 10 - Weekly MCQ Exam - March 1,623abc17fb492fa5df2aa99d,23.75,3
Class 10 - Weekly MCQ Exam - March 1,623a4e7cfb492fa5df1515a9,23.75,3
সাপ্তাহিক পরীক্ষা - ১,623a4e17fb492fa5df14fa5b,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623a4aadfb492fa5df140b79,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623a318efb492fa5df0c24df,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623ac8e1fb492fa5df2ca08e,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623a997ffb492fa5df24f25c,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623a4a30fb492fa5df13e85e,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623ac694fb492fa5df2c46e3,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623a41f5fb492fa5df118d02,20.0,1
সাপ্তাহিক পরীক্ষা - ১,623a67b6fb492fa5df1b3bcc,20.0,1
Monthly Exam 1 (MCQ),623acd24fb492fa5df2d4517,28.75,1
Monthly Exam 1 (MCQ),623a9117fb492fa5df237351,28.75,1
Monthly Exam 1 (MCQ),623a4e17fb492fa5df14fa5b,28.75,1
Monthly Exam 1 (MCQ),623a67b6fb492fa5df1b3bcc,28.75,1
Monthly Exam 1 (MCQ),623ab9f2fb492fa5df2a539f,28.75,1
Monthly Exam 1 (MCQ),623a7385fb492fa5df1dc1c8,28.75,1
Class 10 - Monthly MCQ Exam - March,623a318efb492fa5df0c24df,30.0,1
Class 10 - Monthly MCQ Exam - March,623acd24fb492fa5df2d4517,28.75,2
Class 10 - Monthly MCQ Exam - March,623a3c91fb492fa5df0fe5fc,28.75,2
Class 10 - Monthly MCQ Exam - March,623a7385fb492fa5df1dc1c8,27.5,4
Class 10 - Monthly MCQ Exam - March,623abbadfb492fa5df2a98e7,27.5,4
Class 10 - Monthly MCQ Exam - March,623a3c81fb492fa5df0fe0dd,27.5,4
